id,nombre,apellido_paterno,apellido_materno,partido_politico,telefono,email,url_curriculum,url_foto,url_twitter
230,Eduardo,Frei,Ruiz-Tagle,P.D.C.,,eduardofrei@senado.cl,http://www.senado.cl/curriculum-senador-eduardo-frei-ruiz-tagle/prontus_senado/2012-11-14/184510.html,,
59,Jaime,Gazmuri,Mujica,P.S.,+56322504257,jgazmuri@senado.cl,,,
910,José Antonio,Gómez,Urrutia,P.R.S.D.,,jagomez@senado.cl,http://www.senado.cl/curriculum-senador-jose-antonio-gomez-urrutia/prontus_senado/2012-11-12/173732.html,,
276,Carlos,González,Márquez,,,,,,
279,Jaime,Guzmán,Errázuriz,,,,,,
35,Juan,Hamilton,Depassier,,,,,,
224,Ricardo,Hormazábal,Sánchez,,,,,,
58,Antonio,Horvath,Kiss,Independiente,+56322504427,ahorvath@senado.cl,http://www.senado.cl/curriculum-senador-antonio-horvath-kiss/prontus_senado/2012-11-14/192807.html,,
227,Vicente,Huerta,Celis,,,,,,
647,Sergio,Jarpa,Reyes,,,,,,
46,Carlos Ignacio,Kuschel,Silva,,,,,,https://twitter.com/kuscheldiputado
74,Julio,Lagos,Cosgrove,,,,,,
34,Hernán,Larraín,Fernández,U.D.I.,+56322504423,hlarrain@senado.cl,http://www.senado.cl/curriculum-senador-hernan-larrain-fernandez/prontus_senado/2012-11-13/171607.html,,https://twitter.com/hernanlarrainf
1063,Carlos,Larrain,Peña,,,,,,https://twitter.com/carloslarrain1
228,Enrique,Larre,Asenjo,,,,,,
69,Jorge,Lavandero,Illanes,P.D.C.,,jlavand@senado.cl,,,
28,Carlos,Letelier,Bobadilla,,,,,,
913,Pablo,Longueira,Montes,U.D.I.,,longueira@senado.cl,,,https://twitter.com/pablo_longueira
282,Ricardo,Martin,Díaz,,,,,,
68,Jorge,Martínez,Busch,,,,,,
1306,Manuel Antonio,Matta,Aragay,P.D.C.,,,,,
96,Evelyn,Matthei,Fornet,U.D.I.,+56322504311,ematthei@senado.cl,,,https://twitter.com/evelynmatthei
3,Ronald,McIntyre,Mendoza,,,,,,
157,Rafael,Moreno,Rojas,P.D.C.,,rmoreno@senado.cl,,,
914,Pedro,Muñoz,Aburto,P.S.,,pmunoz@senado.cl,http://www.senado.cl/curriculum-senador-pedro-munoz-aburto/prontus_senado/2012-11-14/195051.html,,
61,Roberto,Muñoz,Barra,P.P.D.,+56322504481,rmunoz@senado.cl,,,
691,Jaime,Naranjo,Ortiz,P.S.,+56322504514,jnaranjo@senado.cl,,,https://twitter.com/diputadonaranjo
143,Ricardo,Navarrete,Betanzo,,,,,,
63,Jovino,Novoa,Vásquez,U.D.I.,,jnovoa@senado.cl,http://www.senado.cl/curriculum-senador-jovino-novoa-vasquez/prontus_senado/2012-11-13/121512.html,,
24,Ricardo,Núñez,Muñoz,P.S.,+56322504316,rnunez@senado.cl,,,
66,Carlos,Ominami,Pascual,P.S.,+56322504419,ominami@senado.cl,,,https://twitter.com/ominamipascual
692,Jaime,Orpis,Bouchon,U.D.I.,+56322504515,jorpis@senado.cl,http://www.senado.cl/curriculum-senador-jaime-orpis-bouchon/prontus_senado/2012-11-12/171655.html,,
56,Hugo,Ortiz,De,,,,,,https://twitter.com/hugoortizpri
32,Miguel,Otero,Lathrop,,,,,,
229,Máximo,Pacheco,Gómez,,,,,,
147,Sergio,Páez,Verdugo,P.D.C.,,spaez@senado.cl,,,
275,Humberto,Palza,Corvacho,,,,,,
136,Mario,Papi,Bayer,,,,,,
159,Augusto,Parra,Muñoz,,,,,,
1007,Lily,Pérez,San,Amplitud,+56322504677,lperez@senado.cl,http://www.senado.cl/curriculum-senadora-lily-perez-san-martin/prontus_senado/2012-11-13/111947.html,,https://twitter.com/lilyperez
161,Ignacio,Pérez,Walker,,,,,,https://twitter.com/iperezwalker
162,Augusto,Pinochet,Ugarte,,,,,,
127,Sebastian,Piñera,Echeñique,,,,,,https://twitter.com/sebastianpinera
36,Francisco,Prat,Alemparte,,,,,,
693,Baldo,Prokurica,Prokurica,R.N.,+56322504518,bprokurica@senado.cl,http://www.senado.cl/curriculum-senador-baldo-prokurica-prokurica/prontus_senado/2012-11-12/190657.html,,https://twitter.com/bprokurica
26,Mario,Ríos,Santander,R.N.,,mrios@senado.cl,,,
31,Sergio,Romero,Pizarro,R.N.,+56322504249,sromero@senado.cl,,,
1010,Fulvio,Rossi,Ciocca,P.S.,+56322504683,frossi@senado.cl,http://www.senado.cl/curriculum-senador-fulvio-rossi-ciocca/prontus_senado/2012-11-12/170434.html,,https://twitter.com/fulviorossic
281,César,Ruiz,Danyau,,,,,,
37,José,Ruiz,De,P.D.C.,,jruiz@senado.cl,,,
64,Mariano,Ruiz-Esquide,Jara,P.D.C.,,mruiz@senado.cl,http://www.senado.cl/curriculum-senador-mariano-ruiz-esquide-jara/prontus_senado/2012-11-14/151834.html,,
120,Hosaín,Sabag,Castillo,P.D.C.,,hsabag@senado.cl,http://www.senado.cl/curriculum-senador-hosain-sabag-castillo/prontus_senado/2012-11-14/112010.html,,https://twitter.com/senadorsabag
206,Bruno,Siebert,Held,,,,,,
164,Enrique,Silva,Cimma,,,,,,
280,Santiago,Sinclair,Oyaneder,,,,,,
218,Laura,Soto,González,,,,,,
165,Rodolfo,Stange,Oelckers,U.D.I.,,rstange@senado.cl,,,
39,Anselmo,Sule,Candia,,,,,,
65,William,Thayer,Arteaga,,,,,,
1011,Eugenio,Tuma,Zedán,P.P.D.,+56322504685,etuma@senado.cl,http://www.senado.cl/curriculum-senador-eugenio-tuma-zedan/prontus_senado/2012-11-14/183640.html,,https://twitter.com/eugeniotuma
166,Beltrán,Urenda,Zegers,,,,,,
1064,Gonzalo,Uriarte,Herrera,U.D.I.,+56322504241,guriarte@senado.cl,http://www.senado.cl/curriculum-senador-gonzalo-uriarte-herrera/prontus_senado/2012-11-12/191511.html,,
25,Gabriel,Valdés,Subercaseaux,P.D.C.,,gvaldes@senado.cl,,,
865,Guillermo,Vásquez,Úbeda,P.R.S.D.,+56322504556,gvasquez@senado.cl,,,
167,Ramón,Vega,Hidalgo,,,,,,
148,José Antonio,Viera-Gallo,Quesney,P.S.,,vierag@senado.cl,,,
231,Hernán,Vodanovic,Schnake,,,,,,
1013,Ignacio,Walker,Prieto,P.D.C.,+56322504687,iwalker@senado.cl,http://www.senado.cl/curriculum-senador-ignacio-walker-prieto/prontus_senado/2012-11-13/094652.html,,https://twitter.com/ignaciowalker
1012,Patricio,Walker,Prieto,P.D.C.,+56322504689,pwalker@senado.cl,http://www.senado.cl/curriculum-senador-patricio-walker-prieto/prontus_senado/2012-11-14/194117.html,,https://twitter.com/patriciowalker
41,Adolfo,Zaldívar,Larraín,Independiente,+56322504426,azaldiva@senado.cl,,,
60,Andrés,Zaldívar,Larraín,P.D.C.,+56322504691,azaldivar@senado.cl,http://www.senado.cl/curriculum-senador-andres-zaldivar-larrain/prontus_senado/2012-11-13/133939.html,,
168,Enrique,Zurita,Camps,,,,,,
